7,8,3,-1,-7,-8,-4,10,9,11,7,-1,0,4,-6,-2,-9,6,10,-1,6,1,10,-7,-7,-8,-3,7,-4,-10,-10,-5
-81,2,-3,28,9,8,8,-3,9,127,-21,-27,-127,53,-43,19,-24,7,9,-47,5,1,-3,5,-2,-20,-19,-1,-127,-121,-35,-127
26,-3,9,4,2,-5,5,-8,-11,-5,-6,-20,4,-3,-17,6,-6,0,10,-26,-1,-6,1,4,10,-10,40,-24,-5,18,-33,10
-43,-3,-9,-8,-8,-9,-2,5,-9,-2,12,-4,-3,1,-33,8,1,3,-4,12,-9,10,-4,-2,7,-2,-41,6,-9,15,77,8
-1,5,-2,6,1,11,-11,-8,-3,18,-15,16,-10,7,-44,-21,-5,-8,10,-6,10,11,5,-9,-4,-40,46,-17,-5,0,79,-5
3,5,1,-10,-2,2,3,9,-11,9,-10,6,0,3,-5,-7,4,-4,10,4,2,4,0,-9,-7,3,-7,14,13,-12,-10,-5
17,7,-9,-43,0,-7,-1,7,3,7,-60,0,11,4,44,-13,-3,-5,4,-21,-11,-8,-2,11,2,-4,-15,-23,-11,14,-57,-3
-7,6,-4,2,-5,-5,-3,4,3,-10,-63,-54,26,-17,72,-1,-4,-11,-3,-3,7,-4,5,-6,7,-48,-18,-58,58,-15,-24,-30
-7,-10,-3,-2,-8,4,-11,9,2,2,0,-2,-8,2,19,15,-11,10,-7,3,10,-9,-11,4,-6,3,-1,2,1,2,-21,14
-81,-7,2,-8,1,-7,3,7,2,-70,18,5,-109,3,-9,-108,-68,-10,9,62,4,-11,-5,1,1,11,-6,-7,-127,84,-2,-127
-95,3,7,0,-2,-8,4,-4,0,78,17,-32,-127,9,-71,19,-57,-5,-4,14,-3,8,-6,1,-10,5,21,-12,-127,-15,-13,-127
-12,-10,-4,7,8,-2,9,11,-10,7,10,-15,-5,8,15,0,-20,2,11,0,2,7,1,-6,7,-12,13,-4,16,11,81,-8
-82,6,-9,31,-10,9,7,-5,-7,80,-41,5,-127,23,-4,111,-59,-1,2,-101,6,-1,0,5,5,-57,-11,23,-127,-127,14,-79
-11,9,2,3,4,3,1,-5,-6,2,-58,-15,-4,-10,63,11,3,-1,-7,-2,8,-4,7,-2,0,-53,3,-2,-19,-3,15,3
-64,-9,-9,59,3,-2,2,6,-7,-40,39,-37,-26,1,108,4,-36,2,-7,32,11,5,-5,6,-1,-14,94,77,127,-37,127,-7
20,-7,2,-9,-7,-8,-4,-5,9,2,-14,-1,-8,2,25,19,24,5,6,26,0,9,3,-6,8,34,-27,15,-7,19,115,3
-6,-2,-6,-3,-6,6,-11,-6,-3,-15,2,16,-18,12,-114,-10,11,1,2,-9,-11,-11,-4,0,3,0,-6,-3,23,28,-18,-17
1,6,8,-20,-2,3,9,-5,-10,-9,11,16,7,5,44,-13,29,10,-3,22,-11,-2,-10,3,2,11,24,8,-12,-4,98,11
-14,6,-3,13,-3,-11,9,-4,1,-31,4,-34,9,-16,35,3,1,-10,-2,-4,8,-4,8,3,0,3,-8,-9,13,18,-17,2
-15,6,0,-2,-2,4,1,1,10,2,-4,-10,10,7,38,-6,-24,-4,11,-11,-3,5,6,1,7,-6,-8,23,16,18,25,-18
-12,-5,-9,-15,-4,-4,1,0,6,34,29,53,-26,8,-53,10,-48,-9,0,2,-2,-7,10,-8,1,-5,-9,23,-9,-19,-35,-45
2,-5,0,-8,1,8,-10,11,-1,7,-15,1,7,-20,37,28,-8,7,3,-18,8,-2,9,6,-8,-16,-27,12,-28,0,-9,-6
-27,8,8,-17,-3,10,0,9,6,-17,3,24,-17,-5,-89,-27,-29,1,2,15,-7,-5,-1,2,4,3,-56,-4,18,-18,65,-26
3,-9,6,-13,-6,2,4,-8,7,13,5,26,3,-7,27,-3,-4,-3,-4,17,-4,-2,-9,1,-6,13,-19,-39,-38,1,-107,21
-20,-9,-3,-2,2,3,-2,-2,-3,9,-5,-44,-6,-9,57,-32,-34,-3,-6,3,-2,-9,-10,-2,3,-25,-44,34,-22,-1,7,-7
-127,-4,4,9,9,8,8,-8,-6,83,-29,-3,-45,38,-28,31,-57,8,2,-8,8,-5,11,2,0,-41,9,-6,-53,-45,7,-60
-97,8,-4,6,-11,3,-6,10,-6,-29,24,16,8,-40,-7,-127,17,-7,-11,-8,-4,-8,-10,9,-5,-4,-9,-21,15,-70,3,-69
6,-3,11,3,-10,0,11,1,-10,5,4,1,9,16,-9,-15,23,5,-3,5,-3,-5,2,1,0,5,5,-11,-5,9,-4,-11
14,-10,10,-11,-5,-10,1,6,-5,-4,1,43,-10,-4,47,-2,-12,3,-7,11,3,5,9,-7,-2,-43,-7,-5,1,-6,-22,3
-5,10,6,-28,6,-4,-10,-5,11,21,-8,-30,-35,-15,-3,62,2,-6,4,-14,-2,-2,1,9,-11,-17,-39,-22,10,-88,22,-20
12,2,8,13,3,0,-3,2,9,-7,-2,-23,2,3,16,-11,-2,-1,11,-9,3,-1,-2,1,-9,7,15,16,7,8,37,8
-35,-3,4,-4,10,-2,-5,5,8,0,-12,-60,11,-1,25,3,20,-7,10,-5,0,4,-11,3,7,-36,-12,-127,-16,-9,-29,8
13,6,-8,0,4,5,-4,4,11,10,-8,-8,-12,-19,11,46,-18,10,11,-26,9,2,-1,-2,-3,-30,-33,6,-1,-42,7,-22
13,-1,1,11,1,-6,-5,-7,-11,2,12,-9,1,11,24,-23,12,-4,-11,-1,-7,10,-5,-11,-8,31,0,-24,11,4,-7,10
-26,1,-9,-22,8,-1,-7,2,-2,-8,15,15,-10,9,33,-5,-6,-1,-5,20,5,9,-8,-7,-4,-8,-14,31,2,-20,-5,-28
-11,-4,-9,-26,-7,-2,7,5,-1,28,-18,-47,9,6,14,11,15,6,-6,-1,5,-8,-4,10,-3,0,10,67,-4,15,4,-23
-28,-9,6,-29,7,-4,11,-8,0,13,-19,28,55,-76,-39,46,14,1,6,19,3,-7,10,-3,4,-32,-34,32,-100,-3,11,-43
-25,-2,-1,3,-6,4,-6,-3,10,-29,-18,-15,-22,-25,-22,-27,18,6,-5,-1,-7,-7,-6,-9,7,44,5,-10,25,20,23,4
-3,-6,-8,5,-6,3,4,-1,-10,-2,9,-5,6,-9,-14,-18,-4,-4,8,-14,-4,-10,-11,8,-3,4,-10,5,11,16,-12,2
21,3,4,4,10,-8,-10,-1,2,-25,-7,-112,30,-5,32,-8,-31,-10,8,-3,-2,3,6,10,6,3,6,49,0,14,-10,14
25,-11,-5,-35,8,-7,-9,6,-11,-28,-10,2,-9,16,-12,9,-50,-8,1,41,-10,-2,5,8,-5,28,-7,-3,5,-8,-6,-29
-15,5,-6,-20,-11,-10,2,-3,-8,0,8,35,-8,-6,14,-7,-10,2,-1,10,-2,-11,-1,5,-5,-12,-48,-9,-27,-1,-13,-18
-38,-4,-7,-8,-6,4,6,11,10,-12,2,2,0,-6,-3,-6,10,-1,-4,17,2,2,-5,-5,3,6,-41,14,-1,-22,7,-24
11,1,6,13,-5,-2,-4,-7,-9,-6,-15,-1,13,12,34,-6,0,-6,-9,0,-7,-6,-2,-8,8,-13,15,-69,0,3,-12,1
14,-11,4,-4,1,6,-2,8,-2,-8,-3,40,2,-9,-1,0,-14,2,1,4,0,10,7,6,-3,-24,-17,-6,6,6,6,-2
12,5,-7,10,-2,1,-1,0,4,-12,-54,-22,16,-11,-4,3,-19,-3,-10,-32,-11,6,0,-5,9,-24,-60,41,-35,16,26,-1
10,8,-6,10,11,7,-2,0,-9,13,4,-14,5,13,23,-4,13,10,-8,1,0,7,9,-9,9,11,24,-16,17,4,0,7
-26,9,7,-9,8,-10,2,-5,6,-5,6,-54,0,-30,-13,-18,4,10,-7,4,-2,-6,-7,7,-10,-46,-64,19,-6,16,-23,37
-13,-11,-9,27,-8,7,11,-6,-3,-14,-6,-5,-17,0,-19,-2,-6,-1,1,4,0,5,0,10,-1,10,-31,-4,28,-30,19,-38
9,7,-7,14,-2,0,10,-8,5,4,12,-3,7,9,14,-2,9,6,-10,8,-8,-4,-6,3,-5,25,-3,-73,7,4,-2,-3
-17,3,-8,-18,3,2,-1,8,-7,5,-9,-54,12,7,-6,28,20,-3,-2,-3,3,-4,-2,10,-6,6,27,24,-31,-4,0,-16
17,9,0,-7,1,7,-2,-5,6,-2,-3,-112,10,14,18,-14,-8,-5,1,20,7,-6,2,-3,5,-18,15,-76,6,2,-2,-8
10,-6,-8,9,8,-9,9,-3,-7,-14,-21,-53,2,-2,-22,39,-55,-6,-10,-8,-2,5,6,2,2,-54,-3,51,-47,2,4,-13
-48,3,-8,19,-8,8,-2,5,-6,-65,27,-3,0,-127,-26,-127,55,-4,4,-18,-6,-9,10,2,-2,-7,-11,-12,14,8,-21,-41
-9,0,8,-9,-4,-8,8,-10,4,-5,-16,1,-6,-7,-14,-2,2,7,-6,4,3,-6,0,-3,9,3,-21,17,5,-3,-4,-8
16,-5,2,-11,-3,10,-6,0,0,-9,-1,21,12,13,26,5,-15,-9,5,13,-9,9,7,9,4,-16,-13,-127,17,4,-18,-4
1,-2,-11,-18,5,-2,-6,10,3,-9,-6,26,-13,-3,-4,-21,-24,1,-4,-1,6,2,-2,5,8,-40,-40,38,11,-7,10,-3
-25,-8,-1,-25,-3,8,-6,8,-5,-7,5,3,-2,12,-11,-27,11,8,7,-4,-4,-3,1,-5,6,9,-20,2,-22,-2,-39,-9
4,0,-9,1,4,3,-1,9,-3,-13,-21,-5,-11,-17,-40,-14,2,4,1,10,10,-9,6,11,-1,-2,17,-5,23,26,29,6
6,11,11,-14,-8,-11,-1,-1,-2,29,-22,-52,8,1,51,-2,-2,-3,-11,-20,11,0,10,-1,2,5,9,85,4,3,-43,16
-18,9,-4,-8,-5,9,9,-11,-9,-5,-7,-4,-3,-11,11,-8,9,0,-1,16,1,-7,-9,-9,10,0,-8,-2,-3,-18,-6,-2
-16,-5,-2,-2,6,4,-4,-4,8,-4,5,-4,1,1,-15,-4,-7,10,2,-4,-10,7,11,9,1,-8,5,-7,-3,-3,6,-3
11,8,-4,12,-9,8,-8,7,-8,16,2,-6,8,8,17,6,10,11,-7,4,1,1,-3,1,-10,16,28,-37,10,2,7,6
-42,2,-5,-29,3,-9,-8,6,6,19,26,32,7,5,-5,-11,26,4,7,18,-6,-5,-9,11,-10,-13,4,15,-35,-27,4,-38
-1,-11,-6,-6,-6,3,1,-3,5,6,-10,-10,-12,-5,-6,7,1,0,3,-8,10,10,10,3,4,8,-11,-3,-3,-11,-1,2
