FEN,Evaluation
rnbqkbnr/pppppppp/8/8/8/5P2/PPPPP1PP/RNBQKBNR b KQkq - 0 1,72
rnbqkbnr/pppppp1p/8/6p1/8/5P2/PPPPP1PP/RNBQKBNR w KQkq - 0 2,108
rnbqkbnr/pppppp1p/8/6p1/8/2P2P2/PP1PP1PP/RNBQKBNR b KQkq - 0 2,-62
rnbqkbnr/pp1ppp1p/8/2p3p1/8/2P2P2/PP1PP1PP/RNBQKBNR w KQkq - 0 3,106
rnbqkbnr/pp1ppp1p/8/2p3p1/8/2P2P2/PP1PPKPP/RNBQ1BNR b kq - 1 3,71
rnbqkb1r/pp1ppp1p/5n2/2p3p1/8/2P2P2/PP1PPKPP/RNBQ1BNR w kq - 2 4,1
rnbqkb1r/pp1ppp1p/5n2/2p3p1/8/N1P2P2/PP1PPKPP/R1BQ1BNR b kq - 3 4,107
rnbqkb1r/pp1ppp1p/5n2/6p1/2p5/N1P2P2/PP1PPKPP/R1B1QBNR b kq - 1 5,83
rnbqkb1r/p2ppp1p/5n2/1p4p1/2p5/N1P2P2/PP1PPKPP/1RB1QBNR b kq - 1 6,117
3r4/6k1/2n1p3/pp2PpRP/1Pp1bP2/N1PP2B1/P4KP1/5B2 b - - 0 41,-570
rnbqkbnr/pppppppp/8/8/7P/8/PPPPPPP1/RNBQKBNR b KQkq - 0 1,37
rnbqkbnr/1ppppppp/8/p7/7P/8/PPPPPPP1/RNBQKBNR w KQkq - 0 2,24
rnbqkbnr/1ppppppp/8/p7/7P/6P1/PPPPPP2/RNBQKBNR b KQkq - 0 2,14
rnbqkbnr/1p1ppppp/2p5/p7/7P/6P1/PPPPPP2/RNBQKBNR w KQkq - 0 3,6
rnbqkbnr/1p1ppppp/2p5/p7/7P/6P1/PPPPPP1R/RNBQKBN1 b Qkq - 1 3,104
rnbqkbnr/1p1ppppp/8/p1p5/7P/6P1/PPPPPP1R/RNBQKBN1 w Qkq - 0 4,-43
rnbqkbnr/1p1ppppp/8/p1p5/7P/6P1/PPPPPPR1/RNBQKBN1 b Qkq - 1 4,123
rnbqkbnr/3ppppp/8/ppp5/7P/6P1/PPPPPPR1/RNBQKBN1 w Qkq - 0 5,-68
rnbqkbnr/3ppppp/8/ppp5/7P/6PN/PPPPPPR1/RNBQKB2 b Qkq - 1 5,152
rnbqkb1r/3ppppp/7n/ppp5/7P/6PN/PPPPPPR1/RNBQKB2 w Qkq - 2 6,-55
1nbqkb1r/r2ppppp/7n/ppp5/6PP/7N/PPPPPPR1/RNBQKB2 w Qk - 1 7,122
1nbqkbnr/r2ppppp/8/ppp5/6PP/2P4N/PP1PPPR1/RNBQKB2 w Qk - 1 8,72
1nbqkbnr/r2pp1pp/5p2/pPp5/6PP/7N/PP1PPPR1/RNBQKB2 b Qk - 0 9,-104
4kb2/q3r1pr/1R1N3p/3pnP1P/3P1P2/1p5K/1B1N4/1R6 b - - 1 49,265
rnbqkbnr/pppppppp/8/8/8/5P2/PPPPP1PP/RNBQKBNR b KQkq - 0 1,73
rnbqkbnr/ppppppp1/7p/8/8/5P2/PPPPP1PP/RNBQKBNR w KQkq - 0 2,13
rnbqkbnr/ppppppp1/7p/8/6P1/5P2/PPPPP2P/RNBQKBNR b KQkq - 0 2,190
rnbqkbnr/pppppp2/6pp/8/6P1/5P2/PPPPP2P/RNBQKBNR w KQkq - 0 3,-81
rnbqkbnr/pppppp2/6pp/8/6P1/N4P2/PPPPP2P/R1BQKBNR b KQkq - 1 3,163
r1bqkbnr/pppppp2/2n3pp/8/6P1/N4P2/PPPPP2P/R1BQKBNR w KQkq - 2 4,-135
r1bqkbnr/pppppp2/2n3pp/8/5PP1/N7/PPPPP2P/R1BQKBNR b KQkq - 0 4,239
r1bqk1nr/ppppppb1/2n3pp/8/5PP1/N7/PPPPP2P/R1BQKBNR w KQkq - 1 5,-192
4kbnr/3r4/2pn3p/3ppP1P/1p1P3q/pP1bp2N/P3P1B1/1N2K3 w - - 0 34,-99994
4kbnr/3r4/2p4p/2npp2P/1p1P4/pP2p3/P1q1P1B1/1b1K4 w - - 4 40,-99999
4kbnr/3r4/2p4p/2npp2P/1p1P4/pP2p3/P2qP1B1/1b2K3 w - - 6 41,-99999
4kbnr/7r/2p1n2p/3BP2P/1p6/pP2p3/P3P3/1bq3K1 w - - 3 46,-99996
rnbqkbnr/pppppppp/8/8/8/7N/PPPPPPPP/RNBQKB1R b KQkq - 1 1,54
rnbqkbnr/pppppp1p/8/6p1/8/2N4N/PPPPPPPP/R1BQKB1R b KQkq - 1 2,-61
rnbqkbnr/ppppp2p/5p2/6p1/8/2N4N/PPPPPPPP/1RBQKB1R b Kkq - 1 3,-93
rnbqkbnr/ppppp3/5p1p/6p1/4N3/7N/PPPPPPPP/1RBQKB1R b Kkq - 1 4,86
rnbqkbnr/1pppp3/p4p1p/6p1/4N3/1P5N/P1PPPPPP/1RBQKB1R b Kkq - 0 5,118
rnbqkbn1/1pppp2r/p4p1p/6p1/P3N3/1P5N/2PPPPPP/1RBQKB1R b Kq - 0 6,67
rnbqkbn1/1pppp2r/5p1p/p1N3p1/P7/1P5N/2PPPPPP/1RBQKB1R b Kq - 1 7,162
rn4n1/1ppbkrN1/8/3p1pBp/1pPPP3/5B1P/3N1PP1/1RQ1KR2 b - - 4 27,-967
r7/2pbnrN1/np1k4/3pP1Bp/1pPP1pPP/2Q5/3NBP2/1R3K1R b - - 0 36,-1024
rnbqkbnr/pppppppp/8/8/P7/8/1PPPPPPP/RNBQKBNR b KQkq - 0 1,8
rnbqkbnr/ppppp1pp/5p2/8/P7/8/1PPPPPPP/RNBQKBNR w KQkq - 0 2,82
rnbqkbnr/ppppp1pp/5p2/8/P7/7N/1PPPPPPP/RNBQKB1R b KQkq - 1 2,14
r1bqkbnr/ppppp1pp/n4p2/8/P7/7N/1PPPPPPP/RNBQKB1R w KQkq - 2 3,88
r1bqkbnr/ppppp1pp/n4p2/8/P7/R6N/1PPPPPPP/1NBQKB1R b Kkq - 3 3,77
r1bqkbnr/ppp1p1pp/n4p2/3p4/P7/R6N/1PPPPPPP/1NBQKB1R w Kkq - 0 4,-63
r1bqkbnr/pp2p1pp/n4p2/2pp4/P7/7N/1PPPPPPP/RNBQKB1R w Kkq - 0 5,26
rnbqkbnr/pppppppp/8/8/8/1P6/P1PPPPPP/RNBQKBNR b KQkq - 0 1,11
rnbqkbnr/1ppppppp/8/p7/8/1P6/P1PPPPPP/RNBQKBNR w KQkq - 0 2,35
rnbqkbnr/1ppppppp/8/p7/P7/1P6/2PPPPPP/RNBQKBNR b KQkq - 0 2,-1
rnbqkbnr/1pppp1pp/5p2/p7/P7/1P6/2PPPPPP/RNBQKBNR w KQkq - 0 3,82
rnbqkbnr/1pppp1pp/5p2/p7/P4P2/1P6/2PPP1PP/RNBQKBNR b KQkq - 0 3,-1
rnbqkb1r/1pppp1pp/5p1n/p7/P4P2/1P6/2PPP1PP/RNBQKBNR w KQkq - 1 4,59
rnbqkb1r/1pppp1pp/5p1n/p7/P4P2/1P5P/2PPP1P1/RNBQKBNR b KQkq - 0 4,116
r1bqkb1r/1pppp1pp/n4p1n/p7/P4P2/1P5P/2PPP1P1/RNBQKBNR w KQkq - 1 5,-4
r1bqkb1r/1pppp1pp/n4p1n/p7/P4P2/RP5P/2PPP1P1/1NBQKBNR b Kkq - 2 5,242
r1bqkb1r/1pp1p1pp/n4p1n/p2p4/P4P2/RP5P/2PPP1P1/1NBQKBNR w Kkq - 0 6,-164
b2N1bnr/1k2p2p/2pB1pp1/p2p1q2/P4QP1/2rpP2P/R2NB3/4K2R b K - 1 24,-600
3N4/1b1n4/1kp4b/p2p2p1/P2R4/3NP3/1B1K1p2/1R6 b - - 1 50,-622
rnbqkbnr/pppppppp/8/8/8/1P6/P1PPPPPP/RNBQKBNR b KQkq - 0 1,7
rnbqkbnr/1ppppppp/8/p7/8/1P6/P1PPPPPP/RNBQKBNR w KQkq - 0 2,26
rnbqkbnr/1ppppppp/8/p7/P7/1P6/2PPPPPP/RNBQKBNR b KQkq - 0 2,13
rnbqkbnr/1pp1pppp/3p4/p7/P7/1P6/2PPPPPP/RNBQKBNR w KQkq - 0 3,19
rnbqkbnr/1pp1p1pp/3p1p2/p7/P5P1/1P6/2PPPP1P/RNBQKBNR w KQkq - 0 4,-32
rnbqkbnr/1p2p1pp/2pp1p2/p7/P5P1/1P2P3/2PP1P1P/RNBQKBNR w KQkq - 0 5,-33
r1b1k2r/8/3p1p1b/6p1/pn4q1/2RKPP1p/3P2BP/1NB3NR w kq - 0 25,-99988
3rr3/7k/1R1p1p1b/5Bpb/1B2P2q/3P1P2/1K5P/1N4NR b - - 6 38,462
3r4/6kB/1R1prp1b/6pb/4P3/B2P1P2/1K3q1P/1N4NR w - - 11 41,-943
3r4/6kB/1R1prp1b/6pb/4P3/B2P1P2/7P/1NK1q1NR w - - 13 42,-964
2r5/4r3/1R1p1kbb/3P1pp1/4P3/5P2/1B1K3P/6NR b - - 0 48,-2
rnbqkbnr/pppppppp/8/8/8/5P2/PPPPP1PP/RNBQKBNR b KQkq - 0 1,86
rnbqkb1r/pppppppp/5n2/8/8/5P2/PPPPP1PP/RNBQKBNR w KQkq - 1 2,-49
rnbqkb1r/pppppppp/5n2/8/P7/5P2/1PPPP1PP/RNBQKBNR b KQkq - 0 2,129
r3kbr1/1p6/2p1b3/p1qp2p1/Pn1P2p1/2N1B1P1/2K1P2P/3R1BNR w q - 0 24,-859
r2bk3/8/1pp1b3/p2p2r1/Pn1P2p1/2B1P1P1/3K3P/3R1B1R b q - 0 30,495
3b2r1/4kb2/6R1/p5P1/2pP2p1/B5P1/2K5/1R6 b - - 2 47,-371
3b4/3k1b2/6r1/p5P1/2pP2p1/B5P1/2K5/6R1 w - - 0 49,-503
rnbqkbnr/pppppppp/8/8/8/4P3/PPPP1PPP/RNBQKBNR b KQkq - 0 1,-15
rnbqkbnr/ppppp1pp/5p2/8/8/4P3/PPPP1PPP/RNBQKBNR w KQkq - 0 2,72
rnbqkbnr/ppppp1pp/5p2/8/8/4PP2/PPPP2PP/RNBQKBNR b KQkq - 0 2,21
rnbqkbnr/pp1pp1pp/5p2/2p5/8/4PP2/PPPP2PP/RNBQKBNR w KQkq - 0 3,28
rnbqkbnr/p2pp1pp/5p2/1Bp5/8/4PP2/PPPP2PP/RNBQK1NR b KQkq - 0 4,-160
rnbqkbnr/p2pp2p/5pp1/1Bp5/8/4PP2/PPPPQ1PP/RNB1K1NR b KQkq - 1 5,-165
rnbqkbnr/3pp2p/5pp1/pBp5/8/2PQPP2/PP1P2PP/RNB1K1NR b KQkq - 0 7,-153
rnbqkb1r/3pp2p/5ppn/pBp5/8/2P1PP2/PP1PQ1PP/RNB1K1NR b KQkq - 2 8,-115
rnbqk2r/3pp1bp/5ppn/p1p5/B7/2P1PP2/PP1PQ1PP/RNB1K1NR b KQkq - 4 9,-57
rn1qk2r/3pp1bp/b4ppn/p1p5/B7/2P1PP2/PP1P2PP/RNBQK1NR b KQkq - 6 10,-46
rnbqkbnr/pppppppp/8/8/8/5N2/PPPPPPPP/RNBQKB1R b KQkq - 1 1,-17
rnbqkbnr/p1pppp1p/1p6/6p1/7N/8/PPPPPPPP/RNBQKB1R w KQkq - 0 3,-4
rnbqkbnr/p1pppp1p/1p6/8/7p/1P6/P1PPPPPP/RNBQKB1R w KQkq - 0 4,-337
rnbqkbnr/p1pppp1p/1p6/8/7p/BP6/P1PPPPPP/RN1QKB1R b KQkq - 1 4,412
rnbqkb1r/p1pppp1p/1p5n/8/5P1p/BP6/P1PPP1PP/RN1QKB1R b KQkq - 0 5,433
rnb1k3/Q1p2p2/2qP1r2/4p2p/P2PPPn1/NP5P/2K3B1/B1R3bb w - - 5 32,-617
rnbqkbnr/pppppppp/8/8/7P/8/PPPPPPP1/RNBQKBNR b KQkq - 0 1,27
rnbqkbnr/1ppppppp/p7/8/7P/8/PPPPPPP1/RNBQKBNR w KQkq - 0 2,0
rnbqkbnr/1ppppppp/p7/8/7P/3P4/PPP1PPP1/RNBQKBNR b KQkq - 0 2,19
rnbqkbnr/1ppp1ppp/p3p3/8/7P/3P4/PPP1PPP1/RNBQKBNR w KQkq - 0 3,-6
rnbqkb1r/1p1pnppp/p3p3/2p5/7P/3P4/PPP1PPP1/RNBQKBNR w KQkq - 2 5,-29
rnbqkb1r/1p1pnppp/p3p3/2p5/7P/3PB3/PPP1PPP1/RN1QKBNR b KQkq - 3 5,74
Rb3nk1/3b3p/5p1P/2pBp1r1/2P5/1P5Q/3B2n1/5KNR b - - 4 38,-99991
rnbqkbnr/pppppppp/8/8/6P1/8/PPPPPP1P/RNBQKBNR b KQkq - 0 1,129
r1bqkbnr/pppppppp/2n5/8/6P1/8/PPPPPP1P/RNBQKBNR w KQkq - 1 2,-85
1rbqkbnr/pppppppp/2n5/8/3P2P1/8/PPP1PP1P/RNBQKBNR w KQk - 1 3,63
1rbqkbnr/pppppppp/8/8/1n1P2P1/4P3/PPP2P1P/RNBQKBNR w KQk - 1 4,112
1rbqkbnr/1ppppppp/8/p7/1n1P2P1/4P3/PPPN1P1P/R1BQKBNR w KQk - 0 5,118
1rbqkbnr/1pppp1pp/8/p4pPQ/1n1P4/4P3/PPPN1P1P/R1B1KBNR b KQk - 1 6,-66
1rbqk1n1/1pppb3/6pr/1B2PpPQ/8/1NP1P2P/2n2P1R/R1B1K1N1 w Q - 3 16,-358
3k4/1r1p4/2b2Pp1/p3P3/1bp2B2/7N/5R2/5K2 w - - 0 47,-95
3k4/1r1p4/2b2Pp1/4P3/pbp2B2/5R1N/8/5K2 w - - 0 48,-384
3k1b2/1r1p4/2b2Pp1/4P3/p1p5/5R1N/7B/5K2 w - - 2 49,-522
3k1b2/3p4/2b2Pp1/4P3/p1p5/5R1N/1r5B/6K1 w - - 4 50,-770
rnbqkbnr/pppppppp/8/8/8/6P1/PPPPPP1P/RNBQKBNR b KQkq - 0 1,-17
r1bqkbnr/pppppppp/n7/8/8/6P1/PPPPPP1P/RNBQKBNR w KQkq - 1 2,47
r1bqkbnr/pppppppp/n7/8/8/6PN/PPPPPP1P/RNBQKB1R b KQkq - 2 2,9
r1bqkb1r/pppppppp/n4n2/8/8/6PN/PPPPPP1P/RNBQKB1R w KQkq - 3 3,11
r1bqkb1r/pppppppp/n4n2/8/8/1P4PN/P1PPPP1P/RNBQKB1R b KQkq - 0 3,52
r1bqkbnr/pppppppp/n7/8/8/1P4PN/P1PPPP1P/RNBQKB1R w KQkq - 1 4,48
r1bqkbnr/pppppppp/n7/6N1/8/1P4P1/P1PPPP1P/RNBQKB1R b KQkq - 2 4,22
r2qkbnr/ppp1pppp/n7/3p2N1/4P1b1/1P1B2P1/P1PPKP1P/RNBQ3R w kq - 5 8,-66
3r1r2/pp2p1b1/2p1kp2/1q2Bb1p/N1P1B1Pp/1P3Pn1/n2K1Q1P/1R6 w - - 4 37,-778
5r2/pp2p1b1/2prkp2/1q3b1p/N1P1B1Pp/1P3Pn1/n2K1Q1P/1R6 w - - 0 38,-1114
5r2/pp2p1b1/2p1kp2/1q1r1b1p/N1PQ2Pp/1n3P2/7P/4RK2 b - - 1 43,841
rnbqkbnr/pppppppp/8/8/8/1P6/P1PPPPPP/RNBQKBNR b KQkq - 0 1,11
rnbqkbnr/pp1ppppp/2p5/8/8/1P6/P1PPPPPP/RNBQKBNR w KQkq - 0 2,12
rnbqkbnr/pp1ppppp/2p5/8/8/1P5N/P1PPPPPP/RNBQKB1R b KQkq - 1 2,73
rnb1kbnr/pp1ppppp/1qp5/8/8/1P5N/P1PPPPPP/RNBQKB1R w KQkq - 2 3,-13
rnb1kbnr/pp1ppppp/q1p5/8/8/1P1P3N/P1P1PPPP/RNBQKB1R w KQkq - 1 4,59
rnb1kbnr/pp1pp1pp/q1p5/5p2/8/1PNP3N/P1P1PPPP/R1BQKB1R w KQkq - 0 5,147
rnb1kb1r/3p3p/2p2np1/pp2ppB1/1qPPN1P1/1P5N/P3PPBP/R2QK2R w KQkq - 1 12,200
rnbqkbnr/pppppppp/8/8/8/3P4/PPP1PPPP/RNBQKBNR b KQkq - 0 1,15
rnbqkbnr/ppp1pppp/8/3p4/8/3P4/PPP1PPPP/RNBQKBNR w KQkq - 0 2,-11
rnbqkbnr/ppp1pppp/8/3p4/8/3P4/PPPBPPPP/RN1QKBNR b KQkq - 1 2,57
rnbqkbnr/1pp1pppp/8/p2p4/8/3PB3/PPP1PPPP/RN1QKBNR b KQkq - 1 3,76
rnbqkbnr/2p1pppp/8/pp1p4/8/3PB3/PPP1PPPP/RN1QKBNR w KQkq - 0 4,-20
rnbqkbnr/2p1pppp/8/pp1p4/8/2NPB3/PPP1PPPP/R2QKBNR b KQkq - 1 4,312
r1bqkbnr/2pnpppp/8/pp1p4/8/2NPB3/PPPQPPPP/R3KBNR b KQkq - 3 5,113
rnbqkbnr/pppppppp/8/8/6P1/8/PPPPPP1P/RNBQKBNR b KQkq - 0 1,135
rnbqkb1r/pppppppp/5n2/8/6P1/8/PPPPPP1P/RNBQKBNR w KQkq - 1 2,27
rnbqkb1r/pppppppp/5n2/6P1/8/8/PPPPPP1P/RNBQKBNR b KQkq - 0 2,-31
5b1r/2k1P3/1pp3p1/2PPpq1p/P2P3P/Np6/1B3K2/R6R w - - 2 37,-432
4k3/6b1/P4r2/1NPpp1pp/3P3P/1p6/1B4R1/R4K2 w - - 2 49,1076
rnbqkbnr/pppppppp/8/8/6P1/8/PPPPPP1P/RNBQKBNR b KQkq - 0 1,127
rnbqkbnr/ppppp1pp/5p2/8/6P1/8/PPPPPP1P/RNBQKBNR w KQkq - 0 2,0
rnbqkbnr/ppppp1pp/5p2/8/6PP/8/PPPPPP2/RNBQKBNR b KQkq - 0 2,88
r1bqk3/3r3p/n3pP1b/p2p4/2p1P2p/4K2N/PPPP1PB1/RNB4R w q - 7 21,-621
1nb5/rr1q1k1p/4NP1b/p2P4/2p1K2p/P7/1PPP1PB1/RNBR4 w - - 3 28,-424
1nb5/r3q2p/4Nk2/pr1P4/1Pp1Kb1p/P4P2/1BPP4/RN1R3B b - - 2 33,714
1nb5/r3q2p/4Nk2/p1rPB3/1Pp1K2p/P4P2/2PP4/RN2R2B b - - 0 35,-206
8/2N2k1p/r5n1/prBbqK2/2p4p/P1NP1P2/2P5/R4R1B w - - 1 47,-99998
rnbqkbnr/pppppppp/8/8/6P1/8/PPPPPP1P/RNBQKBNR b KQkq - 0 1,132
rnbqkbnr/pp1ppppp/8/2p5/6P1/8/PPPPPP1P/RNBQKBNR w KQkq - 0 2,-69
rnbqkbnr/pp1ppppp/8/2p5/6P1/5P2/PPPPP2P/RNBQKBNR b KQkq - 0 2,184
rnbqkbnr/p2ppppp/8/1pp5/6P1/5P2/PPPPP2P/RNBQKBNR w KQkq - 0 3,-60
rnbqkbnr/p2ppppp/8/1pp5/6P1/P4P2/1PPPP2P/RNBQKBNR b KQkq - 0 3,115
rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,-34
rnbqkbnr/ppppp1pp/5p2/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,147
rnbqkbnr/ppppp1pp/5p2/8/3PP3/8/PPP2PPP/RNBQKBNR b KQkq - 0 2,-155
rnbqkbnr/ppppp2p/5pp1/8/3PP3/8/PPP2PPP/RNBQKBNR w KQkq - 0 3,162
rnbqkbnr/ppppp2p/5pp1/8/3PP3/2N5/PPP2PPP/R1BQKBNR b KQkq - 1 3,-166
rnbqkbnr/p1ppp2p/5pp1/1p6/3PP3/2N4P/PPP2PP1/R1BQKBNR b KQkq - 0 4,-158
2b1k1n1/4p2r/1NQ4p/4b1P1/3q3P/2P3PB/rP2K3/4R2R b - - 0 31,-881
2b1k3/4N3/2B4n/8/2Pb3P/6P1/rPq1Q1K1/7R b - - 4 47,-482
rnbqkbnr/pppppppp/8/8/8/P7/1PPPPPPP/RNBQKBNR b KQkq - 0 1,10
rnbqkbnr/1ppppppp/p7/8/8/P7/1PPPPPPP/RNBQKBNR w KQkq - 0 2,17
rnbqkbnr/1ppppppp/p7/8/8/P6P/1PPPPPP1/RNBQKBNR b KQkq - 0 2,-5
rnbqkbnr/1ppp1ppp/p3p3/8/8/P6P/1PPPPPP1/RNBQKBNR w KQkq - 0 3,19
rnb1kbnr/1ppp1ppp/p3pq2/8/8/P1N4P/1PPPPPP1/R1BQKBNR w KQkq - 2 4,91
rnb1k1nr/1pppbppp/p3pq2/8/8/P1N4P/RPPPPPP1/2BQKBNR w Kkq - 4 5,80
3k1r2/7b/pQ1p2np/B2p2p1/P3p1P1/N2P1P1P/1R2B3/4R2K b - - 0 47,-99987
rnbqkbnr/pppppppp/8/8/8/1P6/P1PPPPPP/RNBQKBNR b KQkq - 0 1,6
rnbqkbnr/pp1ppppp/2p5/8/8/1P6/P1PPPPPP/RNBQKBNR w KQkq - 0 2,15
rnbqkbnr/pp1ppppp/2p5/8/8/1P2P3/P1PP1PPP/RNBQKBNR b KQkq - 0 2,-11
rnbqkbnr/pp1pp1pp/2p5/5p2/8/1P2P3/P1PP1PPP/RNBQKBNR w KQkq - 0 3,43
rnbqkbnr/pp1pp1pp/2p5/5p2/8/1P2P1P1/P1PP1P1P/RNBQKBNR b KQkq - 0 3,-17
rnbqkbnr/p2pp1pp/1pp5/5p2/8/1P2P1P1/P1PP1P1P/RNBQKBNR w KQkq - 0 4,101
rnbqkbnr/p2pp1pp/1pp5/5p2/P7/1P2P1P1/2PP1P1P/RNBQKBNR b KQkq - 0 4,-39
rn1qkbnr/pb1pp1pp/1pp5/5p2/P7/1P2P1P1/2PP1P1P/RNBQKBNR w KQkq - 1 5,65
rn1qkbnr/pb1pp1pp/1pp5/5p2/P7/1P2P1P1/1BPP1P1P/RN1QKBNR b KQkq - 2 5,-58
rn1qkbnr/pb1p2pp/1pp1p3/5p2/P7/1P2P1P1/1BPPBP1P/RN1QK1NR b KQkq - 1 6,-22
rn1qkb1r/pb1pn1pp/1pp1p3/5p2/P4P2/1P2P1P1/1BPPB2P/RN1QK1NR b KQkq - 0 7,-95
rn1qkb1r/1b1pn1pp/1pp1p3/p4p2/P4P2/1P2PNP1/1BPPB2P/RN1QK2R b KQkq - 1 8,-86
rnbqkb1r/3pn1pp/1pp1p3/p4p2/P4P2/1P1BPNP1/1BPP3P/RN1QK2R b KQkq - 3 9,-99
1nbqkb1r/r2pn1pp/1pp1p3/p4p2/P4P1P/1P1BPNP1/1BPP4/RN1QK2R b KQk - 0 10,-102
rnbqkbnr/pppppppp/8/8/8/5P2/PPPPP1PP/RNBQKBNR b KQkq - 0 1,80
rnbqkbnr/pppp1ppp/8/4p3/8/5P2/PPPPP1PP/RNBQKBNR w KQkq - 0 2,-76
rnbqkbnr/pppp1ppp/8/4p3/2P5/5P2/PP1PP1PP/RNBQKBNR b KQkq - 0 2,128
rnbk3r/1p1p4/RR3Ppb/p1P3p1/2PPp1P1/8/PBn1P3/4KB2 w - - 3 27,-506
rn1k2r1/1b1p4/5Ppb/p1P3p1/2PP2P1/n1K1p3/P3P3/5B2 w - - 0 33,-1400
rnbqkbnr/pppppppp/8/8/8/6P1/PPPPPP1P/RNBQKBNR b KQkq - 0 1,-17
rnbqkbnr/ppppppp1/8/7p/8/6P1/PPPPPP1P/RNBQKBNR w KQkq - 0 2,33
rnbqkbnr/ppppppp1/8/7p/2P5/6P1/PP1PPP1P/RNBQKBNR b KQkq - 0 2,-34
rnbqkb1r/ppppppp1/5n2/7p/2P5/6P1/PP1PPP1P/RNBQKBNR w KQkq - 1 3,41
rnbqkb1r/ppppppp1/5n2/7p/1PP5/6P1/P2PPP1P/RNBQKBNR b KQkq - 0 3,71
1Q6/2pq4/pk2bpr1/1p3B2/1PpP3p/P1nnP2P/1R3PNR/2B2K2 b - - 3 39,-745
Q3b3/2p3q1/p1k2p1r/1p1n4/1P2PB1p/Pp3P1P/6N1/1B3KR1 b - - 1 49,-904
rnbqkbnr/pppppppp/8/8/8/3P4/PPP1PPPP/RNBQKBNR b KQkq - 0 1,15
